complaint_text,category
gang fighting is extremely scary in the community park.,Public Safety
Attention: City gardens looks beautiful in the park.,General
gunshots fired reported last night near Birendra Chowk.,Public Safety
gang fighting is a threat to life in the community park.,Public Safety
heart rate is out of stock near the health clinic.,Healthcare
traffic signal is breaking apart near the square.,Infrastructure
Urgent: passport processing is stuck for months on the government portal.,Administration
official website requested a bribe on the government portal.,Administration
Report: bridge support is dangerous for cars at the intersection.,Infrastructure
tax documents is being delayed at city hall.,Administration
Report: Community festival is helpful this morning.,General
recycling bin is leaking into drains outside my house.,Sanitation
Report: theft in progress is a threat to life in the community park.,Public Safety
clerk behavior is being delayed at town hall.,Administration
Urgent: garbage pile is rotting and stinking outside my house.,Sanitation
suspicious loitering happened just now near Birendra Chowk.,Public Safety
trash accumulation is overflowing onto street outside my house.,Sanitation
Report: dead animal carcass is overflowing onto street in the residential alley.,Sanitation
The parade looks beautiful this morning.,General
raw sewage is leaking into drains outside my house.,Sanitation
official website is being delayed in the records office.,Administration
birth certificate keeps crashing on the government portal.,Administration
water pipe leak is crumbling on the main highway.,Infrastructure
Urgent: traffic signal is breaking apart on the main highway.,Infrastructure
Attention: City gardens is interesting today.,General
Attention: street lights is dangerous for cars near the square.,Infrastructure
raw sewage is rotting and stinking in the residential alley.,Sanitation
Report: cracked sidewalk is gushing water near the square.,Infrastructure
heart rate is critical condition at the city hospital.,Healthcare
Report: tax documents requested a bribe at town hall.,Administration
Urgent: official website is full of errors on the government portal.,Administration
water pipe leak is breaking apart in the downtown area.,Infrastructure
The weather is helpful in the park.,General
ambulance response is dangerously low at the city hospital.,Healthcare
dead animal carcass is leaking into drains in the residential alley.,Sanitation
birth certificate is full of errors on the government portal.,Sanitation
dead animal carcass is rotting and stinking in the residential alley.,Sanitation
Urgent: bridge support is dangerous for cars on the main highway.,Infrastructure
Urgent: garbage pile is overflowing onto street near the park.,Sanitation
The weather is helpful in the park.,General
illegal racing reported last night near Birendra Chowk.,Public Safety
Attention: violent kidnapping happened just now outside the mall.,Public Safety
clerk behavior requested a bribe on the government portal.,Administration
City gardens is very nice for everyone.,General
Community festival looks beautiful in the park.,General
permit application is being delayed on the government portal.,Administration
Report: illegal dumping is rotting and stinking behind the school.,Sanitation
illegal racing is a threat to life outside the mall.,Public Safety
trash accumulation is overflowing onto street behind the school.,Sanitation
The weather is helpful today.,General
The parade is a great event today.,General
City gardens is helpful today.,General
garbage pile is rotting and stinking behind the school.,Sanitation
permit application is full of errors at town hall.,Administration
Attention: bridge support needs urgent repair near the square.,Infrastructure
Report: insulin stock is dropping fast at the ER.,Healthcare
raw sewage is overflowing onto street behind the school.,Sanitation
pothole on road needs urgent repair near the square.,Infrastructure
City gardens is very nice in the park.,General
City gardens is interesting this morning.,General
traffic signal needs urgent repair near the square.,Infrastructure
cracked sidewalk is gushing water near the square.,Infrastructure
Attention: garbage pile is leaking into drains near the park.,General
Attention: violent kidnapping reported last night in the community park.,Public Safety
violent kidnapping reported last night near Birendra Chowk.,Public Safety
The parade looks beautiful for everyone.,General
Report: The parade is interesting today.,General
illegal dumping is attracting rats outside my house.,Sanitation
Attention: garbage pile is attracting rats behind the school.,Sanitation
